2022/5/27,11:05:21,-,Program,Started,,,,,,,,,
2022/5/27,11:05:21,-,Start,to,backup,CLP_Account_UBT_Daily,,,,,,,
2022/5/27,11:15:16,-,Completed,backing,up,CLP_Account_UBT_Daily,,,,,,,
2022/5/27,11:15:16,-,Start,to,clear,temp,table,,,,,,
2022/5/27,11:15:16,-,Completed,clearing,temp,table,,,,,,,
2022/5/27,11:15:16,-,Start,to,create,temp,table,,,,,,
2022/5/27,11:15:16,-,Completed,creating,temp,table,,,,,,,
2022/5/27,11:15:16,-,Start,to,processs,day,1,/,695:,2022/5/26,,,
2022/5/27,11:15:16,-,Start,to,processs,day,2,/,695:,2022/5/25,,,
2022/5/27,11:15:16,-,Start,to,processs,day,3,/,695:,2022/5/24,,,
2022/5/27,11:15:16,-,Start,to,processs,day,4,/,695:,2022/5/23,,,
2022/5/27,11:28:52,-,Start,to,processs,day,5,/,695:,2022/5/22,,,
2022/5/27,11:29:11,-,Start,to,processs,day,6,/,695:,2022/5/21,,,
2022/5/27,11:29:14,-,Start,to,processs,day,7,/,695:,2022/5/20,,,
2022/5/27,11:29:15,-,Start,to,processs,day,8,/,695:,2022/5/19,,,
2022/5/27,11:39:49,-,Start,to,processs,day,9,/,695:,2022/5/18,,,
2022/5/27,11:39:50,-,Start,to,processs,day,10,/,695:,2022/5/17,,,
2022/5/27,11:40:07,-,Start,to,processs,day,11,/,695:,2022/5/16,,,
2022/5/27,11:40:11,-,Start,to,processs,day,12,/,695:,2022/5/15,,,
2022/5/27,11:51:18,-,Start,to,processs,day,13,/,695:,2022/5/14,,,
2022/5/27,11:51:32,-,Start,to,processs,day,14,/,695:,2022/5/13,,,
2022/5/27,11:51:36,-,Start,to,processs,day,15,/,695:,2022/5/12,,,
2022/5/27,11:52:13,-,Start,to,processs,day,16,/,695:,2022/5/11,,,
2022/5/27,12:02:07,-,Start,to,processs,day,17,/,695:,2022/5/10,,,
2022/5/27,12:04:11,-,Start,to,processs,day,18,/,695:,2022/5/9,,,
2022/5/27,12:04:23,-,Start,to,processs,day,19,/,695:,2022/5/8,,,
2022/5/27,12:04:24,-,Start,to,processs,day,20,/,695:,2022/5/7,,,
2022/5/27,12:13:52,-,Start,to,processs,day,21,/,695:,2022/5/6,,,
2022/5/27,12:15:42,-,Start,to,processs,day,22,/,695:,2022/5/5,,,
