2022/6/3,11:05:17,-,Program,Started,,,,,,,
2022/6/3,11:05:17,-,Start,to,backup,CLP_Account_UBT_Daily,,,,,
2022/6/3,11:14:56,-,Completed,backing,up,CLP_Account_UBT_Daily,,,,,
2022/6/3,11:14:56,-,Start,to,clear,temp,table,,,,
2022/6/3,11:14:56,-,Completed,clearing,temp,table,,,,,
2022/6/3,11:14:56,-,Start,to,create,temp,table,,,,
2022/6/3,11:14:56,-,Completed,creating,temp,table,,,,,
2022/6/3,11:14:56,-,Start,to,processs,day,1,/,702:,2022/6/2,
2022/6/3,11:14:56,-,Start,to,processs,day,2,/,702:,2022/6/1,
2022/6/3,11:14:56,-,Start,to,processs,day,3,/,702:,2022/5/31,
2022/6/3,11:14:56,-,Start,to,processs,day,4,/,702:,2022/5/30,
2022/6/3,11:18:30,-,Start,to,processs,day,5,/,702:,2022/5/29,
2022/6/3,11:18:50,-,Start,to,processs,day,6,/,702:,2022/5/28,
2022/6/3,11:18:53,-,Start,to,processs,day,7,/,702:,2022/5/27,
2022/6/3,11:19:06,-,Start,to,processs,day,8,/,702:,2022/5/26,
2022/6/3,11:21:11,-,Start,to,processs,day,9,/,702:,2022/5/25,
2022/6/3,11:21:33,-,Start,to,processs,day,10,/,702:,2022/5/24,
2022/6/3,11:21:38,-,Start,to,processs,day,11,/,702:,2022/5/23,
2022/6/3,11:21:58,-,Start,to,processs,day,12,/,702:,2022/5/22,
2022/6/3,11:23:49,-,Start,to,processs,day,13,/,702:,2022/5/21,
2022/6/3,11:24:23,-,Start,to,processs,day,14,/,702:,2022/5/20,
2022/6/3,11:24:28,-,Start,to,processs,day,15,/,702:,2022/5/19,
2022/6/3,11:24:33,-,Start,to,processs,day,16,/,702:,2022/5/18,
2022/6/3,11:26:26,-,Start,to,processs,day,17,/,702:,2022/5/17,
2022/6/3,11:27:01,-,Start,to,processs,day,18,/,702:,2022/5/16,
2022/6/3,11:27:11,-,Start,to,processs,day,19,/,702:,2022/5/15,
2022/6/3,11:27:25,-,Start,to,processs,day,20,/,702:,2022/5/14,
2022/6/3,11:28:54,-,Start,to,processs,day,21,/,702:,2022/5/13,
2022/6/3,11:29:32,-,Start,to,processs,day,22,/,702:,2022/5/12,
2022/6/3,11:30:05,-,Start,to,processs,day,23,/,702:,2022/5/11,
2022/6/3,11:30:05,-,Start,to,processs,day,24,/,702:,2022/5/10,
2022/6/3,11:31:31,-,Start,to,processs,day,25,/,702:,2022/5/9,
2022/6/3,11:32:00,-,Start,to,processs,day,26,/,702:,2022/5/8,
2022/6/3,11:32:40,-,Start,to,processs,day,27,/,702:,2022/5/7,
2022/6/3,11:32:41,-,Start,to,processs,day,28,/,702:,2022/5/6,
2022/6/3,11:34:01,-,Start,to,processs,day,29,/,702:,2022/5/5,
2022/6/3,11:34:32,-,Start,to,processs,day,30,/,702:,2022/5/4,
2022/6/3,11:35:16,-,Start,to,processs,day,31,/,702:,2022/5/3,
2022/6/3,11:35:19,-,Start,to,processs,day,32,/,702:,2022/5/2,
2022/6/3,11:36:35,-,Start,to,processs,day,33,/,702:,2022/5/1,
2022/6/3,11:37:10,-,Start,to,processs,day,34,/,702:,2022/4/30,
2022/6/3,11:37:44,-,Start,to,processs,day,35,/,702:,2022/4/29,
2022/6/3,11:37:46,-,Start,to,processs,day,36,/,702:,2022/4/28,
2022/6/3,11:39:01,-,Start,to,processs,day,37,/,702:,2022/4/27,
2022/6/3,11:39:29,-,Start,to,processs,day,38,/,702:,2022/4/26,
